id,name,type,e,c,p,a,v,d,r,rv,w,cr,h,n,ph,addr,resy
1,Veracruz All Natural,Food Truck,🌮,Mexican,$,East Austin,Lively|Outdoor,Vegan ok|Nut-free,4.9,8200,~5m,Moderate,Mon-Fri 7am-3pm,Best breakfast tacos in Austin. The migas taco is iconic.,(512) 981-1760,"1704 E Cesar Chavez St, Austin TX",false
2,Uchiko,Restaurant,🍱,Japanese,$$$,Rosedale,Aesthetic|Cozy,Gluten-Free|Vegetarian,4.8,5600,~20m,Busy,Daily 5–10pm,Chef Paul Qui's Japanese farmhouse. Reserve ahead.,(512) 916-4808,"4200 N Lamar Blvd, Austin TX",true
3,Comedor,Restaurant,🌯,Mexican,$$$,Downtown,Upscale|Aesthetic,Vegetarian|Gluten-Free,4.7,3100,~20m,Busy,Mon-Fri 11am-10pm,Contemporary Mexican in a stunning open-air atrium.,(512) 499-0977,"501 Colorado St, Austin TX",true
4,Franklin Barbecue,Restaurant,🔥,BBQ,$$,East Austin,Lively|Outdoor,,4.7,7002,~60m,Very Busy,Tue-Sun 11am-3pm,The most famous BBQ in the world. Arrive very early.,(512) 653-1187,"900 E 11th St, Austin TX",false
5,Terry Black's BBQ,Restaurant,🥩,BBQ,$$,South Austin,Lively|Outdoor,,4.7,24069,~10m,Moderate,Daily 10:30am-9:30pm,"No insane lines, still world-class brisket and ribs.",(512) 394-5899,"1003 Barton Springs Rd, Austin TX",false
6,Aba Austin,Restaurant,🫒,Mediterranean,$$$,SoCo,Aesthetic|Cozy,Vegan ok|Gluten-Free|Vegetarian,4.7,7172,~20m,Busy,Daily 11am-10pm,The garlic hummus is life-changing. Most-reviewed Med in Austin.,(737) 273-0199,"1011 S Congress Ave, Austin TX",true
7,Taqueria De Diez,Restaurant,🥷,Mexican,$$,Downtown,Lively|Cozy,Vegetarian,4.8,1719,~10m,Moderate,Daily 11:30am-1am,A taco speakeasy — walk through the bar to find it.,(512) 633-4829,"206 Trinity St, Austin TX",false
8,Ember Kitchen,Restaurant,🔥,Latin Fusion,$$$,West Austin,Aesthetic|Upscale,Gluten-Free,4.8,2318,~20m,Busy,Daily 5-11pm,Fire-driven Latin. Short rib with polenta is unforgettable.,(512) 291-6846,"800 W Cesar Chavez St, Austin TX",true
9,Craft Omakase,Restaurant,🍣,Japanese,$$$$,North Lamar,Aesthetic|Romantic,Gluten-Free,5,439,Reserve,Intimate,Daily 5:30-11pm,Perfect 5.0 rating. Most special dinner in Austin.,(512) 887-8889,"4400 N Lamar Blvd #102, Austin TX",true
10,The Vegan Nom,Food Truck,🌱,Vegan,$,East Austin,Outdoor|Lively,Vegan ok|Nut-free|Gluten-Free|Vegetarian,4.7,1266,~5m,Moderate,Daily 8am-10pm,"Best vegan tacos in Austin, hands down.",(512) 497-3147,"2324 E Cesar Chavez St, Austin TX",false
11,Kemuri Tatsu-ya,Restaurant,🏮,Japanese-BBQ,$$,East Austin,Aesthetic|Lively,Vegetarian,4.7,2900,~30m,Busy,Daily 5-11pm,Japanese izakaya meets Texas BBQ. Completely one-of-a-kind.,(512) 436-8896,"2713 E 2nd St, Austin TX",false
12,Nixta Taqueria,Restaurant,🫔,Mexican,$$,East Austin,Aesthetic|Cozy,Vegetarian|Vegan ok,4.8,1500,~15m,Moderate,Tue-Sun 5-10pm,Michelin-recognized. Handmade tortillas and creative fillings.,(512) 551-5820,"2512 E 12th St, Austin TX",true
13,Tikka House,Restaurant,🍛,Indian,$$,South Lamar,Cozy|Aesthetic,Vegetarian|Vegan ok|Gluten-Free,4.8,1665,~10m,Moderate,Daily 11am-10pm,Best butter chicken in Austin. The lemon rice is incredible.,(512) 797-4439,"2026 S Lamar Blvd, Austin TX",false
14,Odd Duck,Restaurant,🦆,American,$$$,South Lamar,Aesthetic|Cozy,Vegetarian|Gluten-Free,4.6,3400,~25m,Busy,"Mon-Thu 5-10pm, Fri-Sun 10am-10pm",Farm-to-table small plates. Menu changes with the seasons.,(512) 433-6521,"1201 S Lamar Blvd, Austin TX",true
15,Hestia,Restaurant,🌿,American,$$$$,Downtown,Romantic|Upscale,Gluten-Free|Vegetarian,4.5,951,Reserve,Intimate,Tue-Sun 5:30-10pm,Michelin Star. Everything cooked over open wood fire. Stunning.,(512) 333-0737,"607 W 3rd St #105, Austin TX",true
16,Red Ash,Restaurant,🍝,Italian,$$$,Downtown,Romantic|Upscale,Gluten-Free,4.7,2348,~15m,Busy,Daily 5-10pm,Fire-kissed Italian in a sleek downtown tower. Consistently top-rated.,(512) 379-2906,"303 Colorado St, Austin TX",true
17,Fonda San Miguel,Restaurant,🏛️,Mexican,$$$,North Loop,Romantic|Upscale,Vegetarian,4.6,3618,~20m,Moderate,Mon-Sat 4:30-9:30pm,Austin institution in a hacienda. Duck enchiladas are iconic.,(512) 459-4121,"2330 W North Loop Blvd, Austin TX",true
18,Suerte,Restaurant,🌮,Mexican,$$$,East 6th,Aesthetic|Upscale,Vegetarian|Gluten-Free,4.6,3042,~20m,Busy,"Mon-Fri 5-11pm, Sat-Sun 11am-11pm",Upscale East 6th Mexican. Incredible tequila selection.,(512) 522-3031,"1800 E 6th St, Austin TX",true
19,Launderette,Restaurant,🫙,American,$$$,East Austin,Romantic|Aesthetic,Vegetarian|Gluten-Free,4.6,2184,~20m,Moderate,Daily 11am-2pm & 5-10pm,Wood-fired octopus in a gorgeous converted laundromat.,(512) 382-1599,"2115 Holly St, Austin TX",true
20,BOA Steakhouse,Restaurant,🥩,Steakhouse,$$$$,Downtown,Upscale|Romantic,Gluten-Free,4.8,1269,~20m,Busy,Daily 5-11pm,Upscale steakhouse with LA vibe but Texas warmth.,(512) 651-0700,"300 W 6th St, Austin TX",true
21,Loro Asian Smokehouse,Restaurant,🍖,Asian-BBQ,$$,South Lamar,Lively|Outdoor,Vegetarian,4.5,5536,~20m,Busy,Daily 11am-10pm,Tyson Cole + Aaron Franklin collab. Brisket fried rice is a must.,(512) 916-4858,"2115 S Lamar Blvd, Austin TX",false
22,Uchi Austin,Restaurant,🍣,Japanese,$$$$,South Lamar,Romantic|Aesthetic,Gluten-Free|Vegetarian,4.6,3410,~25m,Busy,Daily 4-10pm,The OG. Where Tyson Cole started it all. Still one of Austin's best.,(512) 916-4808,"801 S Lamar Blvd, Austin TX",true
23,Home Slice Pizza,Restaurant,🍕,Italian,$$,SoCo,Lively|Cozy,Vegetarian,4.7,10817,~15m,Busy,Daily 11am-11pm,NY-style pizza on South Congress. A mandatory Austin stop.,(512) 444-7437,"1415 S Congress Ave, Austin TX",false
24,Show Me Pizza,Restaurant,🍕,Italian,$,South Austin,Lively|Cozy,Vegetarian|Gluten-Free,4.7,544,~5m,Chill,Daily 11am-10pm,Creative Neapolitan pizza with an Austin twist. Best GF crust in town.,(512) 551-2657,"2809 S 1st St, Austin TX",false
25,Matt's El Rancho,Restaurant,🌯,Tex-Mex,$$,South Lamar,Lively|Cozy,Vegetarian|Gluten-Free,4.4,7495,~20m,Busy,Mon & Wed-Sun 11am-10pm,Austin's ultimate Tex-Mex. Bob's Queso and Knockout Martinis are iconic.,(512) 462-9333,"2613 S Lamar Blvd, Austin TX",false
26,Stiles Switch BBQ,Restaurant,🥩,BBQ,$$,North Austin,Lively|Outdoor,,4.6,5668,~5m,Moderate,Tue-Sun 11am-8:30pm,Great BBQ without the insane lines. Turkey and beef ribs shine.,(512) 380-9199,"6610 N Lamar Blvd, Austin TX",false
27,la Barbecue,Restaurant,🔥,BBQ,$$,East Austin,Outdoor|Lively,,4.4,3446,~30m,Busy,Wed-Sun 11am-6pm,Michelin-recognized BBQ. Pork ribs and jalapeño sausage are extraordinary.,N/A,"2401 E Cesar Chavez St, Austin TX",false
28,Leroy and Lewis BBQ,Restaurant,🍖,BBQ,$$,South Austin,Lively|Outdoor,Vegetarian,4.4,2146,~20m,Busy,Mon & Wed-Sun 11am-9pm,New-school BBQ. Beef cheek is next-level. Miso glazed carrots are extraordinary.,(512) 945-9882,"5621 Emerald Forest Dr, Austin TX",false
29,Elizabeth Street Cafe,Restaurant,🥐,Vietnamese,$$,South Lamar,Aesthetic|Cozy,Vegetarian|Vegan ok,4.3,2561,~15m,Moderate,"Mon-Fri 11am-10pm, Sat-Sun 8am-10pm",French-Vietnamese fusion. Banh mi and ginger-chili dumplings shine.,(512) 291-2881,"1501 S 1st St, Austin TX",false
30,Cenote,Restaurant,☕,American,$,East Austin,Outdoor|Aesthetic,Vegetarian|Vegan ok|Gluten-Free,4.5,2206,~5m,Chill,"Mon-Tue 7am-4pm, Wed-Sun 7am-9pm",Iconic East Austin cafe with a beautiful back patio.,(737) 415-1099,"1405 E 7th St, Austin TX",false
31,Cuantos Tacos,Food Truck,🫙,Mexican,$,East Austin,Outdoor|Lively,Vegetarian,4.7,1148,~10m,Moderate,Tue-Sat 11am-10pm,Michelin-recognized. Mexico City-style tacos. Suadero is the move.,(512) 905-0533,"1108 E 12th St, Austin TX",false
32,T-Loc's Sonora,Food Truck,🌭,Tex-Mex,$,North Austin,Outdoor|Lively,,4.9,825,~5m,Chill,Tue-Sun 11am-3pm,Bacon-wrapped Sonoran hot dog. Won best hot dog nationally.,(512) 994-8982,"5000 Burnet Rd, Austin TX",false
33,Bird Bird Biscuit,Food Truck,🐦,American,$,East Austin,Outdoor|Lively,Vegetarian,4.7,2406,~15m,Busy,Mon-Sun 7:30am-2pm,Best chicken biscuit in Austin. Order online — they sell out fast.,(512) 761-4922,"2701 Manor Rd, Austin TX",false
34,Counter Cafe,Restaurant,🍳,American,$$,East Austin,Cozy|Aesthetic,Vegetarian|Gluten-Free,4.4,1478,~10m,Moderate,Daily 7am-3pm,Classic East Austin diner. Best coffee in town. All-day breakfast.,(512) 351-9961,"1914 E 6th St, Austin TX",false
35,Snooze AM Eatery,Restaurant,☀️,American,$$,East Austin,Lively|Cozy,Vegetarian|Gluten-Free,4.4,1231,~15m,Busy,Daily 6:30am-2:30pm,Creative breakfast classics. Pancake flights and Benedicts are the move.,(512) 886-1550,"1109 E 5th St #180, Austin TX",false
36,Flower Child,Restaurant,🌸,American,$$,Downtown,Cozy|Aesthetic,Vegetarian|Vegan ok|Gluten-Free,4.5,1053,~10m,Moderate,Daily 11am-9pm,Feel-good healthy bowls. Perfect for groups with mixed dietary needs.,(512) 777-4132,"500 W 2nd St #133, Austin TX",false
37,Kome Sushi Kitchen,Restaurant,🍱,Japanese,$$,North Austin,Cozy|Lively,Vegetarian|Gluten-Free,4.5,2744,~15m,Moderate,"Mon-Fri 11am-2pm & 5-10pm, Sat-Sun 11am-10pm",Neighborhood gem. Crunchy Dynamite roll is a crowd favorite.,(512) 712-5700,"5301 Airport Blvd #100, Austin TX",false
38,Musashino Sushi,Restaurant,🍣,Japanese,$$$,North Loop,Cozy|Romantic,Gluten-Free,4.5,709,~30m,Busy,Tue-Sat 5:30-9:30pm,Hidden upstairs gem with enormous fresh portions. Worth every minute.,(512) 795-8593,"2905 San Gabriel St #200, Austin TX",false
39,Thai Fresh,Restaurant,🌿,Thai,$$,South Austin,Outdoor|Cozy,Vegetarian|Vegan ok|Gluten-Free,4.2,1503,~10m,Moderate,Daily 9am-9pm,South Austin Thai with extensive GF options and great papaya salad.,(512) 494-6436,"909 W Mary St, Austin TX",false
40,1618 Asian Fusion,Restaurant,🍜,Asian Fusion,$$,East Riverside,Aesthetic|Lively,Vegetarian|Gluten-Free,4.8,5856,~10m,Moderate,Daily 10am-9:30pm,"Vietnamese, dim sum, pad thai all under one roof. Sugarcane shrimp is a must.",(737) 332-4609,"1618 E Riverside Dr, Austin TX",false
41,Sangam Chettinad,Restaurant,🍛,Indian,$$,North Austin,Cozy|Aesthetic,Vegetarian|Gluten-Free|Halal,4.7,18730,~15m,Busy,Daily 11:30am-2:30pm & 5:30-10pm,Best South Indian in Austin. Weekend breakfast dosas are legendary.,(512) 770-1104,"6001 W Parmer Ln #140, Austin TX",false
42,Pho Phong Luu,Restaurant,🍲,Vietnamese,$,North Austin,Cozy|Lively,Gluten-Free,4.8,813,~15m,Busy,"Mon-Tue & Fri 10am-8pm, Sat-Sun 10am-2:30pm",Best pho broth in Austin. So rich you won't need any sauces.,(512) 834-1736,"11800 Dessau Rd #302, Austin TX",false
43,Din Ho Chinese BBQ,Restaurant,🦆,Chinese,$$,North Austin,Lively|Cozy,Gluten-Free,4.4,2200,~15m,Busy,Mon & Wed-Sun 11am-9pm,Authentic Hong Kong BBQ. Duck and chicken combo is the move.,(512) 832-8788,"8557 Research Blvd #116, Austin TX",false
44,Dan's Hamburgers,Restaurant,🍔,American,$,North Austin,Lively|Cozy,Vegetarian,4.6,3615,~5m,Moderate,"Mon-Sat 6am-10pm, Sun 6am-5pm",Austin original since the 60s. Handmade onion rings and classic burgers.,(512) 459-3239,"5602 N Lamar Blvd, Austin TX",false
45,North Italia (Domain),Restaurant,🍝,Italian,$$,The Domain,Lively|Aesthetic,Vegetarian|Gluten-Free,4.3,2964,~20m,Busy,Daily 11am-10pm,Hot honey prosciutto pizza and truffle bread keep people coming back.,(512) 339-4400,"11506 Century Oaks Terrace #124, Austin TX",true
46,El Tacorrido,Food Truck,🌮,Tex-Mex,$,South Austin,Outdoor|Lively,Vegetarian,4.3,938,~5m,Chill,Daily 7am-12am,Drive-thru taco window open until midnight. Portobello taco is incredible.,(512) 912-1939,"2316 S 1st St, Austin TX",false
47,Peace Bakery & Deli,Restaurant,🥙,Mediterranean,$$,North Austin,Cozy|Outdoor,Vegetarian|Vegan ok|Halal|Gluten-Free,4.7,767,~5m,Chill,Daily 10:30am-8:30pm,Generous Middle Eastern. Stuffed eggplant and baklava are unreal.,(512) 386-1152,"11220 N Lamar Blvd B202, Austin TX",false
48,Machi Sushi AYCE,Restaurant,🍱,Japanese,$$,South Austin,Lively|Cozy,Vegetarian,4.6,1711,~15m,Busy,Daily 11am-10pm,All-you-can-eat sushi with robot delivery and Transformer statues.,(512) 358-1117,"2200 S I-35 Frontage Rd, Austin TX",false
49,Valentina's Tex Mex,Food Truck,🌄,Tex-Mex,$,South Austin,Outdoor|Lively,Vegetarian,4.8,2100,~10m,Moderate,Wed-Mon 7am-3pm,The Real Deal Holyfield breakfast taco. Worth the drive.,(512) 221-4248,"11500 Menchaca Rd, Austin TX",false
50,Micklethwait Craft BBQ,Food Truck,💨,BBQ,$$,East Austin,Outdoor|Lively,,4.7,2600,~20m,Moderate,Wed-Sun 11am until sold out,Craft BBQ from a trailer. Brisket and jalapeño cheese grits.,(512) 791-5961,"1309 Rosewood Ave, Austin TX",false
51,Paperboy,Food Truck,📰,American,$,East Austin,Outdoor|Aesthetic,Vegetarian,4.6,1900,~10m,Moderate,Daily 8am-2pm,The best breakfast sandwich in Austin. Always worth the line.,(512) 522-5425,"1203 E 11th St, Austin TX",false
52,Sour Duck Market,Restaurant,🫕,American,$$,East Austin,Outdoor|Lively,Vegetarian|Vegan ok,4.5,2305,~15m,Moderate,Daily 9am-10pm,Dog & kid-friendly. Wagyu smash burgers and house-baked bread.,(512) 394-5776,"1814 E MLK Jr Blvd, Austin TX",false
53,Upstairs at Caroline,Restaurant,🎱,American,$$,Downtown,Lively|Outdoor,Vegetarian,4.9,6551,~10m,Busy,Daily 11am-12am,"Rooftop bar with foosball, Jenga, pool, fire pits. Great views.",(512) 982-6766,"109 E 7th St, Austin TX",false
54,Nido Rooftop,Restaurant,🏙️,American,$$$,Riverside,Romantic|Aesthetic,Vegetarian|Gluten-Free,4.5,1461,~20m,Moderate,Daily 7am-10pm,Stunning rooftop at the Loren Hotel with panoramic Austin views.,(512) 580-1183,"1211 W Riverside Dr, Austin TX",true
55,Poeta,Restaurant,🍝,Italian,$$,East Austin,Cozy|Romantic,Vegetarian,4.5,328,~10m,Chill,Daily 9am-10pm,Intimate Italian at East Austin Hotel. Carbonara is perfection.,(512) 364-0380,"1108 E 6th St, Austin TX",true
56,Hippie PicNik,Food Truck,🌿,American,$,East Austin,Outdoor|Aesthetic,Vegetarian,5,193,~10m,Chill,Tue-Sun 12-3pm & 7-10pm,"Backyard vibes, incredible bratwurst, and the hippie crunch wrap.",(580) 730-1098,"1106 E 11th St, Austin TX",false
57,Tyson's Tacos,Food Truck,🌮,Tex-Mex,$,North Loop,Outdoor|Lively,Vegetarian,4.6,1400,~5m,Chill,Daily 7am-3pm,"Cash only, no frills, legendary breakfast tacos.",N/A,"4905 Airport Blvd, Austin TX",false
58,ATX Cocina,Restaurant,🥂,Mexican,$$$,Downtown,Upscale|Aesthetic,Vegetarian|Gluten-Free,4.6,1870,~20m,Busy,"Mon-Thu 5-10pm, Fri-Sun 4-10pm",Modern Mexican with handcrafted margaritas. Very photogenic.,(512) 263-2322,"110 San Antonio St, Austin TX",true
59,Juan in a Million,Restaurant,🥚,Tex-Mex,$,East Austin,Lively|Outdoor,Vegetarian,4.6,3800,~15m,Busy,Daily 7am-3pm,The Don Juan breakfast taco is an Austin institution since 1981.,(512) 472-3872,"2300 E Cesar Chavez St, Austin TX",false
